CMDLINE /cvmfs/sft.cern.ch/lcg/views/LCG_106/x86_64-el9-gcc13-opt/bin/python train.py
MEM 0.250000 1759137845.6557
MEM 16.500000 1759137845.7560
MEM 25.000000 1759137845.8562
MEM 32.675781 1759137845.9564
MEM 37.925781 1759137846.0566
MEM 44.925781 1759137846.1568
MEM 53.175781 1759137846.2570
MEM 77.988281 1759137846.3573
MEM 92.488281 1759137846.4575
MEM 103.988281 1759137846.5577
MEM 114.238281 1759137846.6579
MEM 135.488281 1759137846.7582
MEM 142.738281 1759137846.8585
MEM 153.988281 1759137846.9589
MEM 161.488281 1759137847.0592
MEM 164.988281 1759137847.1595
MEM 169.347656 1759137847.2597
MEM 173.347656 1759137847.3600
MEM 175.847656 1759137847.4602
MEM 177.847656 1759137847.5604
MEM 181.097656 1759137847.6607
MEM 184.847656 1759137847.7609
MEM 188.347656 1759137847.8612
MEM 193.097656 1759137847.9614
MEM 193.597656 1759137848.0616
MEM 193.847656 1759137848.1618
MEM 193.847656 1759137848.2620
MEM 199.347656 1759137848.3622
MEM 203.847656 1759137848.4624
MEM 206.097656 1759137848.5626
MEM 207.847656 1759137848.6628
MEM 207.847656 1759137848.7631
MEM 207.847656 1759137848.8634
MEM 207.847656 1759137848.9637
MEM 208.097656 1759137849.0640
MEM 208.097656 1759137849.1643
MEM 208.097656 1759137849.2646
MEM 209.347656 1759137849.3648
MEM 212.847656 1759137849.4651
MEM 216.847656 1759137849.5654
MEM 220.847656 1759137849.6657
MEM 222.847656 1759137849.7659
MEM 226.097656 1759137849.8661
MEM 229.847656 1759137849.9663
MEM 231.597656 1759137850.0665
MEM 232.097656 1759137850.1668
MEM 232.097656 1759137850.2669
MEM 233.347656 1759137850.3671
MEM 234.847656 1759137850.4673
MEM 235.347656 1759137850.5675
MEM 235.847656 1759137850.6682
MEM 236.097656 1759137850.7686
MEM 236.347656 1759137850.8689
MEM 236.847656 1759137850.9692
MEM 237.347656 1759137851.0694
MEM 237.847656 1759137851.1696
MEM 238.597656 1759137851.2697
MEM 238.847656 1759137851.3700
MEM 239.347656 1759137851.4701
MEM 239.597656 1759137851.5703
MEM 239.847656 1759137851.6705
MEM 239.847656 1759137851.7707
MEM 240.597656 1759137851.8710
MEM 241.097656 1759137851.9712
MEM 241.097656 1759137852.0714
MEM 241.347656 1759137852.1716
MEM 241.347656 1759137852.2718
MEM 241.597656 1759137852.3720
MEM 242.097656 1759137852.4722
MEM 242.597656 1759137852.5723
MEM 243.097656 1759137852.6725
MEM 246.597656 1759137852.7727
MEM 255.347656 1759137852.8729
MEM 273.671875 1759137852.9731
MEM 282.421875 1759137853.0734
MEM 283.921875 1759137853.1736
MEM 282.824219 1759137853.2738
MEM 287.074219 1759137853.3740
MEM 290.074219 1759137853.4743
MEM 292.824219 1759137853.5745
MEM 295.824219 1759137853.6748
MEM 295.785156 1759137853.7750
MEM 298.285156 1759137853.8753
MEM 299.035156 1759137853.9755
MEM 303.535156 1759137854.0758
MEM 304.535156 1759137854.1760
MEM 311.535156 1759137854.2763
MEM 311.785156 1759137854.3765
MEM 312.785156 1759137854.4767
MEM 313.035156 1759137854.5769
MEM 313.035156 1759137854.6771
MEM 313.785156 1759137854.7772
MEM 324.570312 1759137854.8774
MEM 372.589844 1759137854.9777
MEM 392.339844 1759137855.0781
MEM 412.339844 1759137855.1784
MEM 435.089844 1759137855.2787
MEM 458.839844 1759137855.3791
MEM 482.089844 1759137855.4794
MEM 501.839844 1759137855.5797
MEM 522.089844 1759137855.6800
MEM 545.089844 1759137855.7803
MEM 569.089844 1759137855.8806
MEM 591.089844 1759137855.9809
MEM 611.089844 1759137856.0813
